기간	자치구	동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2020.06	합계	합계	4,384,076	1,810,878	940,220	767,670	668,740	152,518	32,661	7,992	2,179	687	531
2020.06	종로구	계	74,497	37,503	14,341	10,697	8,837	2,364	524	164	38	13	16
2020.06	종로구	사직동	4,717	2,373	935	673	536	147	30	17	2	1	3
2020.06	종로구	삼청동	1,370	729	252	182	140	43	19	4	-	-	1
2020.06	종로구	부암동	4,346	1,686	972	745	689	177	50	20	3	1	3
2020.06	종로구	평창동	7,517	2,428	1,753	1,470	1,352	396	69	31	12	4	2
2020.06	종로구	무악동	3,203	764	717	736	757	188	26	11	1	1	2
2020.06	종로구	교남동	4,595	1,658	1,090	918	755	138	25	7	3	1	-
2020.06	종로구	가회동	2,074	956	433	348	243	63	22	5	3	-	1
2020.06	종로구	종로1.2.3.4가동	5,232	4,149	523	286	204	49	14	6	1	-	-
2020.06	종로구	종로5·6가동	3,406	2,353	520	285	180	57	8	2	1	-	-
2020.06	종로구	이화동	4,463	2,725	805	462	343	98	21	8	-	1	-
2020.06	종로구	창신1동	2,952	1,766	571	317	208	72	15	3	-	-	-
2020.06	종로구	창신2동	4,137	1,983	908	622	445	135	35	8	1	-	-
2020.06	종로구	창신3동	2,905	944	689	634	454	151	28	2	3	-	-
2020.06	종로구	숭인1동	2,990	1,397	658	459	355	95	20	5	-	1	-
2020.06	종로구	숭인2동	5,871	3,915	921	519	386	104	22	2	2	-	-
2020.06	종로구	청운효자동	5,395	2,043	1,135	991	915	234	54	18	2	3	-
2020.06	종로구	혜화동	9,324	5,634	1,459	1,050	875	217	66	15	4	-	4
2020.06	중구	계	63,354	31,643	13,498	9,121	6,839	1,660	429	108	26	12	18
2020.06	중구	소공동	1,131	631	219	160	98	17	3	1	-	-	2
2020.06	중구	회현동	3,083	2,025	442	302	222	65	16	9	2	-	-
2020.06	중구	명동	1,589	1,109	220	141	81	24	7	3	1	-	3
2020.06	중구	필동	2,338	1,480	422	214	157	50	10	3	1	-	1
