기간	자치구	합계	모두 초혼	남초혼 여재혼	남재혼 여초혼	모두 재혼	미상
2019	합계	48,261	40,915	1,823	1,652	3,598	273
2019	종로구	590	473	28	33	51	5
2019	중구	722	603	29	22	66	2
2019	용산구	1,303	1,076	48	53	80	46
2019	성동구	1,758	1,555	50	52	95	6
2019	광진구	1,893	1,632	75	60	118	8
2019	동대문구	1,613	1,330	69	56	155	3
2019	중랑구	2,031	1,625	112	84	207	3
2019	성북구	1,880	1,550	77	66	158	29
2019	강북구	1,260	943	90	51	168	8
2019	도봉구	1,316	1,042	63	51	155	5
2019	노원구	2,138	1,815	78	55	188	2
2019	은평구	2,178	1,795	101	84	190	8
2019	서대문구	1,440	1,209	55	48	101	27
2019	마포구	2,029	1,766	51	64	100	48
2019	양천구	1,705	1,403	74	50	173	5
2019	강서구	3,589	3,071	123	101	262	32
2019	구로구	2,063	1,758	70	82	149	4
2019	금천구	1,243	995	82	44	121	1
2019	영등포구	2,449	2,135	71	61	180	2
2019	동작구	2,057	1,803	57	60	129	8
2019	관악구	2,802	2,428	97	75	196	6
2019	서초구	2,084	1,827	57	92	105	3
2019	강남구	2,338	2,046	71	111	107	3
2019	송파구	3,651	3,209	114	131	195	2
2019	강동구	2,129	1,826	81	66	149	7
