기간	행정구역별	합계	남자	여자
2020	합계	414,524	205,290	209,234
2020	종로구	8,276	4,144	4,132
2020	중구	4,788	2,101	2,687
2020	용산구	8,429	4,113	4,316
2020	성동구	13,539	6,574	6,965
2020	광진구	15,155	7,340	7,815
2020	동대문구	15,886	7,434	8,452
2020	중랑구	15,227	7,761	7,466
2020	성북구	21,335	9,919	11,416
2020	강북구	12,724	6,227	6,497
2020	도봉구	14,201	7,198	7,003
2020	노원구	28,474	14,474	14,000
2020	은평구	20,596	10,401	10,195
2020	서대문구	14,523	6,875	7,648
2020	마포구	14,769	6,938	7,831
2020	양천구	21,815	11,267	10,548
2020	강서구	22,970	11,427	11,543
2020	구로구	15,836	8,265	7,571
2020	금천구	9,046	4,522	4,524
2020	영등포구	12,777	6,471	6,306
2020	동작구	16,643	8,005	8,638
2020	관악구	20,319	9,567	10,752
2020	서초구	17,472	8,620	8,852
2020	강남구	24,333	12,285	12,048
2020	송파구	28,359	14,470	13,889
2020	강동구	17,032	8,892	8,140
