name,address
화이트365 대치점,서울 강남구 선릉로76길 34 다영빌딩 1층
워시엔조이코인워시셀프빨래방 청담점,서울 강남구 도산대로72길 33 지하 101호
크린토피아 코인워시 선릉역점,서울 강남구 테헤란로53길 23
버블맨24셀프빨래방 언주역점,서울 강남구 언주로103길 40 1층
워시엔조이 선릉역점,서울 강남구 테헤란로43길 30
화이트365 강남점,서울 강남구 학동로43길 33
크린토피아 코인워시 강남언주역점,서울 강남구 봉은사로25길 13
화이트365 강남논현점,서울 강남구 학동로30길 43
워시엔조이 대치점,서울 강남구 삼성로69길 11
크린토피아 코인워시 잠원본점,서울 서초구 신반포로45길 32 1층
워시엔조이 삼성점,서울 강남구 봉은사로71길 32 1층
워시엔조이 강남논현점,서울 강남구 강남대로128길 21 1층
크린토피아 코인워시365 역삼1동점,서울 강남구 봉은사로44길 43 오빌벤처센터 1층
셀빨래방 잠원점,서울 서초구 강남대로97길 65
런드리존 논현점,서울 강남구 학동로20길 49 1층
위니아24크린샵 역삼점,서울 강남구 테헤란로37길 41
자탁소셀프빨래방 잠원점,서울 서초구 신반포로43길 23-6
크린토피아 코인워시 반포언구비점,서울 서초구 강남대로83길 64-2 102호
더런드리 역삼점,서울 강남구 선릉로107길 25 1층
더런드리 논현점,서울 강남구 논현로123길 31 103호
위워시 반포점,서울 서초구 사평대로55길 65-9
워시엔조이 반포점,서울 서초구 주흥길 78
세탁나눔방24시,서울 강남구 도산대로85길 30 2층
더런드리 강남반포점,서울 서초구 사평대로53길 93-19
크린업24 반포점,서울 서초구 주흥6길 38-2
더런드리 대치2호점,서울 강남구 삼성로69길 27
워시테리아 대치점,서울 강남구 삼성로75길 52 1층
크린업24 강남논현점,서울 강남구 강남대로124길 47
위니아24크린샵 삼성점,서울 강남구 삼성로103길 12 1층
펭귄에이전시 (penguin agency),서울 강남구 봉은사로69길 27
크린토피아 코인워시365 청담경원점,서울 강남구 도산대로 446 경원하이츠텔 1층
크린토피아 코인워시365 청담경원점,서울 강남구 도산대로 446 경원하이츠텔 1층
