name,address,other_address
화이트365 대치점,서울 강남구 선릉로76길 34 다영빌딩 1층,(지번) 대치동 906-12
워시엔조이코인워시셀프빨래방 청담점,서울 강남구 도산대로72길 33 지하 101호,(지번) 청담동 13-40
크린토피아 코인워시 선릉역점,서울 강남구 테헤란로53길 23,(지번) 역삼동 697-8
버블맨24셀프빨래방 언주역점,서울 강남구 언주로103길 40 1층,(지번) 역삼동 657-27
워시엔조이 선릉역점,서울 강남구 테헤란로43길 30,(지번) 역삼동 704-3
화이트365 강남점,서울 강남구 학동로43길 33,(지번) 논현동 107-43
크린토피아 코인워시 강남언주역점,서울 강남구 봉은사로25길 13,(지번) 논현동 193-41
화이트365 강남논현점,서울 강남구 학동로30길 43,(지번) 논현동 220-9
워시엔조이 대치점,서울 강남구 삼성로69길 11,(지번) 대치동 913-25
크린토피아 코인워시 잠원본점,서울 서초구 신반포로45길 32 1층,(지번) 잠원동 35-33
워시엔조이 삼성점,서울 강남구 봉은사로71길 32 1층,(지번) 삼성동 25-32
워시엔조이 강남논현점,서울 강남구 강남대로128길 21 1층,(지번) 논현동 122-24
크린토피아 코인워시365 역삼1동점,서울 강남구 봉은사로44길 43 오빌벤처센터 1층,(지번) 역삼동 690-3
셀빨래방 잠원점,서울 서초구 강남대로97길 65,(지번) 잠원동 24-1
런드리존 논현점,서울 강남구 학동로20길 49 1층,(지번) 논현동 149-1
위니아24크린샵 역삼점,서울 강남구 테헤란로37길 41,(지번) 역삼동 673-18
자탁소셀프빨래방 잠원점,서울 서초구 신반포로43길 23-6,(지번) 잠원동 44-20
크린토피아 코인워시 반포언구비점,서울 서초구 강남대로83길 64-2 102호,(지번) 반포동 732-29
더런드리 역삼점,서울 강남구 선릉로107길 25 1층,(지번) 역삼동 684-8
더런드리 논현점,서울 강남구 논현로123길 31 103호,(지번) 논현동 150-3
위워시 반포점,서울 서초구 사평대로55길 65-9,(지번) 반포동 734-4
워시엔조이 반포점,서울 서초구 주흥길 78,(지번) 반포동 703-14
세탁나눔방24시,서울 강남구 도산대로85길 30 2층,(지번) 청담동 122-35
더런드리 강남반포점,서울 서초구 사평대로53길 93-19,(지번) 반포동 719-3
크린업24 반포점,서울 서초구 주흥6길 38-2,(지번) 반포동 733-5
더런드리 대치2호점,서울 강남구 삼성로69길 27,(지번) 대치동 916-37
워시테리아 대치점,서울 강남구 삼성로75길 52 1층,(지번) 대치동 901-9
크린업24 강남논현점,서울 강남구 강남대로124길 47,(지번) 논현동 138-16
위니아24크린샵 삼성점,서울 강남구 삼성로103길 12 1층,(지번) 삼성동 121-38
펭귄에이전시 (penguin agency),서울 강남구 봉은사로69길 27,(지번) 삼성동 46-37
크린토피아 코인워시365 청담경원점,서울 강남구 도산대로 446 경원하이츠텔 1층,(지번) 청담동 5
워시테리아 천호점,서울 강동구 올림픽로 660 1층,(지번) 천호동 427-3
런드로멧24셀프빨래방 성내점,서울 강동구 천호대로170길 27,(지번) 성내동 383
코인워시24 길동점,서울 강동구 양재대로124길 85,(지번) 길동 76
셀피아 구의동점,서울 광진구 아차산로63길 7,(지번) 구의동 219-39
24시셀프빨래방,서울 강동구 풍성로37가길 9,(지번) 성내동 285-2
워시엔조이 길동점,서울 강동구 진황도로49길 46,(지번) 길동 228-7
크린토피아 코인워시 강동둔촌역점,서울 강동구 풍성로54길 41 1층,(지번) 성내동 427-51
화이트365 강동역점,서울 강동구 진황도로 45-1,(지번) 천호동 165-6
워시엔조이 셀프빨래방 강동점,서울 강동구 올림픽로 572 코오롱2차아파트상가 101동 109호,(지번) 성내동 595
24시셀프빨래방,서울 강동구 구천면로42길 65,(지번) 천호1동 86-7
화이트365 방이점,서울 송파구 오금로11길 55-8,(지번) 방이동 49-4
화이트365 송파풍납점,서울 송파구 올림픽로47길 20,(지번) 풍납동 403-10
셀프빨래방,서울 강동구 성안로25길 21 103호,(지번) 천호동 169-12
크린토피아 코인워시 강동구청점,서울 강동구 성내로 73,(지번) 성내동 542-5
24시 셀프빨래방 풍납점,서울 송파구 올림픽로51길 40,(지번) 풍납동 230-25
셀피아 길동점,서울 강동구 양재대로124길 40 103호,(지번) 길동 339-3
위니아대우24크린샵셀프빨래방 서울둔촌점,서울 강동구 풍성로65길 76,(지번) 둔촌동 77-53
워시스토리셀프빨래방 강동성내타운점,서울 강동구 양재대로103길 59 메이저하우스 1층 101호,(지번) 성내동 381
워시테리아 길동점,서울 강동구 천호대로199길 25,(지번) 길동 123-2
24시셀프빨래방 천호2호점,서울 강동구 구천면로41길 33,(지번) 천호동 303-11
코인워시 길동점,서울 강동구 천중로49길 10,(지번) 길동 345-1
코인워시24빨래터 풍납점,서울 송파구 풍성로25길 23,(지번) 풍납동 485-2
뽀송뽀송코인워시 홈플러스 잠실점,서울 송파구 올림픽로35가길 16 지하 1층,(지번) 신천동 7-12
셀빨래방 성내점,서울 강동구 양재대로 1385,(지번) 성내3동 415-1
크린업셀프빨래방 천호점,서울 강동구 진황도로27길 47,(지번) 천호동 191-85
크린업24 길동점,서울 강동구 양재대로124길 32,(지번) 길동 339-1
