dong,other_address
신림동,38
화곡동,26
상계동,19
봉천동,18
상도동,18
역삼동,17
수유동,15
신정동,14
목동,13
마곡동,12
응암동,12
서초동,11
구로동,12
창동,9
잠실동,9
사당동,9
천호동,9
방학동,9
성내동,9
장안동,9
신월동,9
화양동,8
역촌동,8
등촌동,8
쌍문동,8
신길동,8
당산동,8
자양동,8
구의동,7
상봉동,7
성산동,7
양재동,7
논현동,7
길동,7
석촌동,7
종암동,6
양평동,6
방이동,6
독산동,6
성수동,6
망원동,6
미아동,6
대치동,5
번동,5
신대방동,5
반포동,5
시흥동,5
삼선동,5
남가좌동,5
삼전동,5
동선동,4
개봉동,4
갈현동,4
묵동,4
소하동,4
제기동,4
노량진동,4
개포동,4
숭인동,4
연남동,4
신당동,4
망우동,4
서교동,3
흑석동,3
대조동,3
용두동,3
내발산동,3
연희동,3
북아현동,3
북가좌동,3
방배동,3
동소문동,3
송파동,3
상암동,3
풍납동,3
하안동,3
중계동,3
행당동,3
동교동,3
홍제동,3
대방동,3
가락동,3
군자동,3
삼성동,3
고척동,3
정릉동,3
신내동,3
영등포동,3
청담동,3
잠원동,3
도곡동,3
면목동,2
구산동,2
보문동,2
중동,2
용답동,2
불광동,2
도봉동,2
한강로,2
공항동,2
둔촌동,2
홍은동,2
공릉동,2
안암동,2
남현동,2
상월곡동,2
전농동,2
이태원동,2
공덕동,2
신영동,2
은평구신사동,2
대림동,2
중화동,2
상왕십리동,2
오금동,2
철산동,2
월계동,2
원효로,2
석관동,2
증산동,2
송정동,1
능동,1
합정동,1
회기동,1
휘경동,1
흥인동,1
신천동,1
한남동,1
황학동,1
홍익동,1
충정로,1
신도림동,1
청량리동,1
창전동,1
본동,1
가산동,1
회현동,1
혜화동,1
만리동,1
하왕십리동,1
중곡동,1
창신동,1
무악동,1
도림동,1
천연동,1
아현동,1
서계동,1
청파동,1
하월곡동,1
이촌동,1
충무로,1
길음동,1
염창동,1
명륜동,1
광장동,1
금호동,1
가양동,1
도선동,1
녹번동,1
문래동,1
내자동,1
용산동,1
이문동,1
답십리동,1
신원동,1
교북동,1
후암동,1
용문동,1
우면동,1
문배동,1
